               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089797,             0.02239,                   0,            0.067769,             0.85714,             0.34253,             0.06308,            0.054481,            0.013098,                   0,            0.070136,           0.0033182,           0.0033182
                   1,            0.065185,            0.017841,                   0,           0.0033333,                   1,             0.63485,              0.1557,             0.04345,            0.010224,                   0,            0.039807,           0.0063223,           0.0063223
                   2,            0.053581,             0.01699,                   0,             0.11621,             0.91429,             0.80689,             0.26852,            0.042358,           0.0088736,                   0,           0.0091479,           0.0089963,           0.0089963
                   3,            0.044203,            0.015518,                   0,              0.8484,             0.85714,             0.88967,             0.44346,             0.02826,           0.0079108,                   0,            0.008515,            0.008515,            0.008515
                   4,             0.03843,            0.014047,                   0,              0.9556,             0.88571,             0.94473,             0.55941,            0.025379,           0.0062463,                   0,            0.008515,            0.008515,            0.008515
                   5,            0.034865,            0.011848,                   0,             0.85759,             0.86037,             0.93418,             0.58901,            0.020559,           0.0051072,                   0,             0.00802,             0.00802,             0.00802
                   6,            0.030961,            0.011033,                   0,             0.97537,             0.85714,             0.96893,             0.59759,            0.022734,           0.0043708,                   0,            0.007525,            0.007525,            0.007525
                   7,             0.02904,           0.0089969,                   0,             0.99331,             0.91429,             0.97762,             0.68245,            0.017896,            0.003834,                   0,             0.00703,             0.00703,             0.00703
                   8,            0.026522,           0.0084467,                   0,             0.99525,             0.91429,             0.99087,             0.79607,            0.020215,           0.0033464,                   0,            0.006535,            0.006535,            0.006535
                   9,            0.025004,           0.0071855,                   0,             0.96068,                   1,             0.99361,             0.75803,            0.013935,           0.0029859,                   0,             0.00604,             0.00604,             0.00604
                  10,            0.023856,           0.0068909,                   0,             0.99247,                   1,               0.995,              0.8275,            0.012522,           0.0027761,                   0,            0.005545,            0.005545,            0.005545
                  11,            0.021677,           0.0060781,                   0,             0.99387,                   1,               0.995,             0.80498,            0.014555,           0.0026141,                   0,             0.00505,             0.00505,             0.00505
                  12,            0.020375,           0.0056923,                   0,             0.99677,                   1,               0.995,              0.8138,            0.014157,           0.0024759,                   0,            0.004555,            0.004555,            0.004555
                  13,            0.019215,           0.0054375,                   0,             0.99674,                   1,               0.995,             0.79727,            0.014726,           0.0023802,                   0,             0.00406,             0.00406,             0.00406
                  14,            0.017946,           0.0052111,                   0,             0.99728,                   1,               0.995,             0.85794,            0.011571,           0.0021362,                   0,            0.003565,            0.003565,            0.003565
                  15,            0.016529,           0.0046683,                   0,              0.9979,                   1,               0.995,             0.82998,            0.011189,           0.0020656,                   0,             0.00307,             0.00307,             0.00307
                  16,            0.015444,           0.0046463,                   0,             0.99808,                   1,               0.995,             0.86482,            0.010696,           0.0019859,                   0,            0.002575,            0.002575,            0.002575
                  17,            0.014422,           0.0043171,                   0,             0.99792,                   1,               0.995,             0.83886,           0.0095699,           0.0019197,                   0,             0.00208,             0.00208,             0.00208
                  18,            0.014044,           0.0041961,                   0,              0.9981,                   1,               0.995,             0.85568,           0.0097772,           0.0018622,                   0,            0.001585,            0.001585,            0.001585
                  19,            0.013006,           0.0042948,                   0,              0.9979,                   1,               0.995,               0.844,            0.010215,           0.0018015,                   0,             0.00109,             0.00109,             0.00109
